LAK | Matt Greene | Instigator - Misconduct | HOME | CBJ | 2014-10-26 | Dennis LaRue | Kevin Pollock  
CBJ | Scott Hartnell | Roughing | AWAY | LAK | 2014-10-26 | Dennis LaRue | Kevin Pollock  
LAK | Drew Doughty | Interference | HOME | CBJ | 2014-10-26 | Dennis LaRue | Kevin Pollock  
CBJ | Artem Anisimov | Interference on goalkeeper | AWAY | LAK | 2014-10-26 | Dennis LaRue | Kevin Pollock  
CBJ | Ryan Johansen | Hooking | AWAY | LAK | 2014-10-26 | Dennis LaRue | Kevin Pollock  
LAK | Jake Muzzin | Tripping | HOME | CBJ | 2014-10-26 | Dennis LaRue | Kevin Pollock  
CBJ | James Wisniewski | Delaying Game-Puck over glass | AWAY | LAK | 2014-10-26 | Dennis LaRue | Kevin Pollock  
CHI | Marcus Kruger | Hooking | AWAY | OTT | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Patrick Wiercioch | Holding | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Alex Chiasson | Hooking | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
CHI | Jeremy Morin | Interference on goalkeeper | AWAY | OTT | 2014-10-26 | Eric Furlatt | Steve Kozari  
CHI | Andrew Shaw | Roughing | AWAY | OTT | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Zack Smith | Roughing | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Mike Hoffman | Roughing | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
CHI | Patrick Sharp | Interference | AWAY | OTT | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Chris Phillips | Hooking | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Mark Borowiecki | Holding | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Chris Phillips | Interference | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Mike Hoffman | Too many men/ice - bench | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
CHI | Johnny Oduya | Slashing | AWAY | OTT | 2014-10-26 | Eric Furlatt | Steve Kozari  
OTT | Clarke MacArthur | Tripping | HOME | CHI | 2014-10-26 | Eric Furlatt | Steve Kozari  
ANA | Tim Jackman | Fighting (maj) | AWAY | SJS | 2014-10-26 | Tim Peel | Trevor Hanson  
SJS | John Scott | Fighting (maj) | HOME | ANA | 2014-10-26 | Tim Peel | Trevor Hanson  
SJS | Adam Burish | Slashing | HOME | ANA | 2014-10-26 | Tim Peel | Trevor Hanson  
SJS | Matt Nieto | Hooking | HOME | ANA | 2014-10-26 | Tim Peel | Trevor Hanson  
ANA | Tim Jackman | Hooking | AWAY | SJS | 2014-10-26 | Tim Peel | Trevor Hanson  
SJS | Justin Braun | Holding | HOME | ANA | 2014-10-26 | Tim Peel | Trevor Hanson  
SJS | Scott Hannan | Hi-sticking | HOME | ANA | 2014-10-26 | Tim Peel | Trevor Hanson  
ANA | Sami Vatanen | Embellishment | AWAY | SJS | 2014-10-26 | Tim Peel | Trevor Hanson  
SJS | Mirco Mueller | Unsportsmanlike conduct | HOME | ANA | 2014-10-26 | Tim Peel | Trevor Hanson  
ANA | Ryan Getzlaf | Unsportsmanlike conduct | AWAY | SJS | 2014-10-26 | Tim Peel | Trevor Hanson  
SJS | Adam Burish | Delay Gm - Face-off Violation | HOME | ANA | 2014-10-26 | Tim Peel | Trevor Hanson  
